Fullname,Fullname_GR,Τitle,Party_EN,Party_EN_2,Party_GR,Region,Link_DOI
Koutsoumpas Dimitrios,Κουτσούμπας Δημήτριος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOYTSOYMPAS_DIMITRIOS_1984194_2021.pdf
Kritikos Neoklis,Κρητικός Νεοκλής,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Lakonia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KRITIKOS_NEOKLIS_2182576_2021.pdf
Kyranakis Konstantinos,Κυρανάκης Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KYRANAKIS_KONSTANTINOS_2017310_2021.pdf
Kyriazidis Dimitrios,Κυριαζίδης Δημήτριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Drama,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KYRIAZIDIS_DIMITRIOS_2126373_2021.pdf
Konstantineas Petros,Κωνσταντινέας Πέτρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KONSTANTINEAS_PETROS_2226944_2021.pdf
Konstantinopoulos Odysseus/Odysseas,Κωνσταντινόπουλος Οδυσσεύς,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Arkadia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KONSTANTINOPOYLOS_ODYSSEYS_2182592_2021.pdf
Konstantopoulos Dimitrios,Κωνσταντόπουλος Δημητριος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KONSTANTOPOYLOS_DIMITRIOS_2092973_2021.pdf
Kostopanagiotou Ilias,Κωστοπαναγιώτου Ηλίας,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Fokida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOSTOPANAGIOTOY_ILIAS_2212953_2021.pdf
Kotsiras Georgios,Κώτσηρας Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOTSIRAS_GEORGIOS_2068849_2021.pdf
Kotsos Georgios,Κωτσός Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Karditsa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/KOTSOS_GEORGIOS_2051515_2021.pdf
Lazaridis Makarios,Λαζαρίδης Μακάριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LAZARIDIS_MAKAR_2024566_2021.pdf
Lampropoulos Ioannis,Λαμπρόπουλος Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LAMPROPOYLOS_IOANNIS_2180964_2021.pdf
Lamproulis Georgios,Λαμπρούλης Γεώργιος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LAMPROYLIS_GEORGIOS_2227559_2021.pdf
Lappas Spyridon,Λάππας Σπυρίδων,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Karditsa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LAPPAS_SPYRIDON_2003520_2021.pdf
Leventis Vasileios,Λεβέντης Βασίλειος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LEBENTIS_BASILEIOS_2040347_2021.pdf
Leontaridis Theofilos,Λεονταρίδης Θεόφιλος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LEONTARIDIS_THEOFILOS_2182953_2021.pdf
Liakos Euaggelos,Λιάκος Ευάγγελος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Western Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LIAKOS_EYAGGELOS_2226244_2021.pdf
Liakouli Euaggelia,Λικούλη Ευααγγελία,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LIAKOYLI_EYAGGELIA_2207650_2021.pdf
Livaniou Zoe,Λιβανίου Ζωή,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LIBANIOY_ZOI_2086564_2021.pdf
Livanos Spyridonas -Panagiotis (Spilios),Λιβανός Σπυρίδωνας - Παναγιώτης (Σπήλιος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LIBANOS_SPYRIDON_PANAG_2131703_2021.pdf
Lioupis Athanasios,Λιούπης Αθανάσιος,Member of Greek Parliament,new Democracy,new Democracy,Νέα Δημοκρατία,Magnisia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LIOYPIS_ATHANASIOS_2216464_2021.pdf
Lioutas Athanasios,Λιούτας Αθανάσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Trikala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LIOYTAS_ATHANASIOS_1979027_2021.pdf
Loverdos Andreas,Λοβέρδος Ανδρέας,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LOBERDOS_ANDR_2156649_2021.pdf
Loverdos Ioannis - Michael (Giannis),Λοβέρδος Ιωάννης - Μιχαήλ (Γιάννης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LOBERDOS_IOANNIS_MICHAIL_2095095_2021.pdf
Logiadis Georgios,Λογιάδης Γεώργιος,Member of Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ25,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LOGIADIS_GEORGIOS_2015950_2021.pdf
Lykoudis Spyridon,Λυκούδης Σπυρίδων,Member of Greek Parliament,The River,The River,Το Ποτάμι,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LYKOYDIS_SPYRIDON_2209697_2021.pdf
Lymperaki Antigoni,Λυμπεράκη Αντιγόνη,Member of Greek Parliament,The River,The River,Το Ποτάμι,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/LYMPERAKI_ANTIGONI_2214607_2021.pdf
Makri Zoi (Zetta),Μακρή Ζωή (Ζέττα),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Magnisia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MAKRI_ZOI_2111214_2021.pdf
Malama Kyriaki,Μάλαμα Κυριακή,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Chalkidiki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MALAMA_KYRIAKI_2010832_2021.pdf
Mamoulakis Charalampos (Charis),Μαμουλάκης Χαράλαμπος (Χάρης),Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MAMOYLAKIS_CHARALAMPOS_2217886_2021.pdf
Mani Anna,Μάνη Άννα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANI_ANNA_2105494_2021.pdf
Maniatis Ioannis,Μανιάτης Ιωάννης,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,Argolida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANIATIS_IOANNIS_2017134_2021.pdf
Manios Nikolaos,Μανιός Νικόλαος,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Cyclades,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANIOS_NIKOLAOS_2215510_2021.pdf
Mantas Christos,Μαντάς Χρήστος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANTAS_CHRISTOS_2199620_2021.pdf
Mantas Periklis,Μαντάς Περικλής,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANTAS_PERIKLIS_2283752_2021.pdf
Manolakos Nikolaos,Μανωλάκος Νικόλαος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANOLAKOS_NIKOL_2222948_2021.pdf
Manolakou Diamanto,Μανωλάκου Διαμαντώ,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,B'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MANOLAKOY_DIAMANTO_1978239_2021.pdf
Mardas Dimitrios,Μάρδας Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MARDAS_DIMITRIOS_2205223_2021.pdf
Marinos Georgios,Μαρίνος Γεώργιος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MARINOS_GEORGIOS_2062206_2021.pdf
Markopoulos Dimitrios,Μαρκόπουλος Δημήτριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MARKOPOYLOS_DIMITRIOS_2039556_2021.pdf
Markou Konstantinos,Μάρκου Κωνσταντίνος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Achaea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MARKOY_KONSTANTINOS_2018344_2021.pdf
Martinou Georgia,Μαρτινου Γεωργία,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MARTINOY_GEORGIA_1954733_2021.pdf
Mavrotas Georgios,Μαυρωτάς Γεώργιος,Member of Greek Parliament,The River,The River,Το Ποτάμι,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MAYROTAS_GEORGIOS_2155294_2021.pdf
Megalomystikas Anastasios,Μεγαλομύστικας,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MEGALOMYSTAKAS_ANASTASIOS_2172555_2021.pdf
Megalooikonomou Theodora,Μεγαλοοικονόμου Θεοδώρα,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,B'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MEGALOOIKONOMOY_THEODORA_2221574_2021.pdf
Meikopoulos Alexandros,Μεϊκόπουλος Αλέξανδρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Magnesia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MEIKOPOYLOS_ALEXANDROS_1958914_2021.pdf
Melas Ioannis,Μελάς Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MELAS_IOANNIS_2017400_2021.pdf
Mitarakis Panagiotis (Notis),Μηταράκης Παναγιώτης (Νότης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MITARAKIS_PANAGIOTIS_2100208_2021.pdf
Mitafidis Triantafillos,Μηταφίδης Τριαντάφυλλος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessalonikis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MITAFIDIS_TRIANTAFYLLOS_1992828_2021.pdf
Mitsotakis Kyriakos,Μητσοτάκης Κυριάκος,Prime Minister of Greece,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MITSOTAKIS_KYRIAKOS_2007114_2021.pdf
Michailidis Andreas,Μιχαηλίδης Ανδρέας,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Chios,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MICHAILIDIS_ANDREAS_2140004_2021.pdf
Michaloliakos Nikolaos,Μιχαλολιάκος Νικόλαος,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MICHALOLIAKOS_NIKOLAOS_2284272_2021.pdf
Michelis Athanasios,Μιχελής Αθανάσιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Phthiotis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MICHELIS_ATHANASIOS_2072453_2021.pdf
Michelogiannakis Ioannis,Μιχελογιαννάκης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MICHELOGIANNAKIS_IOANNIS_2169297_2021.pdf
Michos Nikolaos,Μίχος Νικόλαος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MICHOS_NIKOLAOS_2203904_2021.pdf
Monogyiou Aikaterini,Μονογυιού Αικατερίνη,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Cyclades,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MONOGYIOY_AIKATERINI_1998321_2021.pdf
Morfidis Konstantinos,Μορφίδης Κωνσταντίνος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MORFIDIS_KONSTANTINOS_2099362_2021.pdf
Mouzalas Ioannis,Μουζάλας Ιωάννης,Member of Greek Pariament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MOYZALAS_IOANNIS_2063524_2021.pdf
Moulkiotis Georgios,Μουλκιώτης Γεώργιος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Boeotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MOYLKIOTIS_GEORGIOS_2243644_2021.pdf
Moumoulidis Themistocles (Themis),Μουμουλίδης Θεμιστοκλής (Θέμης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MOYMOYLIDIS_THEMISTOKLIS_2196051_2021.pdf
Moustafa Moustafa,Μουσταφά Μουσταφά,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Rhodopes,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MOYSTAFA_MOYSTAFA_2080429_2021.pdf
Mpakadima Foteini,Μπακαδήμα Φωτεινή,Member of Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ25,B'pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPAKADIMA_FOTEINI_1944332_2021.pdf
Mpakogianni Theodora (Dora),Μπακογιάννη Θεοδώρα (Ντόρα),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Chania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPAKOGIANNI_THEODORA_2361653_2021.pdf
Mpalaouras Gerasimos,Μπαλαούρας Γεράσιμος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPALAOYRAS_GERASIMOS_2280452_2021.pdf
Mpalafas Ioannis,Μπαλάφας Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPALAFAS_IOANNIS_2109370_2021.pdf
Mpallis Simeon,Μπαλλής Συμεών,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Magnesia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPALLIS_SYMEON_1989209_2021.pdf
Mpaltas Aristeidis - Nikolaos - Dimitrios,Μπαλτάς Αριστείδης - Νικόλαος - Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPALTAS_ARIST_2159712_2021.pdf
Mpaxevanakis Dimitrios,Μπαξεβανάκης Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPAXEBANAKIS_DIMITRIOS_2002577_2021.pdf
Mparaliakos Xenophon (Fontas),Μπαραλιάκος Ξενοφών (Φώντας),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pieria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPARALIAKOS_XENOFON_2169385_2021.pdf
Mparan Mpourchan,Μπαράν Μπουρχάν,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Xanthi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPARAN_MPOYRCHAN_2210176_2021.pdf
Mpargiotas Konstantinos,Μπαργιώτας Κωνσταντίνος,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPARGIOTAS_KONSTANTINOS_2203811_2021.pdf
Mparkas Konstantinos,Μπάρκας Κωνσταντίνος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Preveza,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPARKAS_KONSTANTINOS_2270449_2021.pdf
Mparmparousis Konstantinos,Μπαρμπαρούσης Κωνσταντίνος,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPARMPAROYSIS_KONSTANTINOS_2033082_2021.pdf
Mpartzokas Anastasios,Μπαρτζώκας Αναστάσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Imathia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPARTZOKAS_ANASTASIOS_2142654_2021.pdf
Mpgialas Christos,Μπγιάλας Χρήστος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Grevena,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPGIALAS_CHRISTOS_2065090_2021.pdf
Mpiziou Stergiani (Stella),Μπίζιου Στεργιανή (Στέλλα),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPIZIOY_STERGIANI_2160003_2021.pdf
Mplouchos Konstantinos,Μπλούχος Κωνσταντίνος,Member of Greek Pariament,New Democracy,New Democracy,Νέα Δημοκρατία,Drama,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPLOYCHOS_KONSTANTINOS_2135231_2021.pdf
Mpogdanos Konstantinos,Μπογδάνος Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOGDANOS_KONSTANTINOS_1996299_2021.pdf
Mpolaris Markos,Μπόλαρης Μάρκος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOLARIS_MARKOS_2146319_2021.pdf
Mpougas Ioannis,Μπούγας Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Fokida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOYGAS_IOANNIS_2200159_2021.pdf
Mpoukoros Christos,Μπουκώρος Χρήστος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Magnesia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOYKOROS_CHRISTOS_2042952_2021.pdf
Mpoumpas Konstantinos,Μπούμπας Κωνσταντίνος,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOYMPAS_KONSTANTINOS_2181853_2021.pdf
Mpouras Athanasios,Μπούρας Αθανάσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Western Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOYRAS_ATHANASIOS_2180897_2021.pdf
Mpournous Ioannis,Μπουρνούς Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Lesvos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOYRNOYS_IOANNIS_2058459_2021.pdf
Mpoutsikakis Christoforos- Emmanouil,Μπουτσικάκης Χριστόφορος - Εμμανουήλ,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MPOYTSIKAKIS_CHRISTOFOROS_EMMANOYI_2218573_2021.pdf
Milonakis Antonios,Μυλωνάκης Αντώνιος,Member  of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MYLONAKIS_ANTONIOS_2099492_2021.pdf
Moraitis Nikolaos,Μυλωνάκης Νικόλαος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MORAITIS_NIKOLAOS_1997532_2021.pdf
Moraitis Athanasios (Thanos),Μωραΐτης Αθανάσιος (Θάνος),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/MORAITIS_ATHANASIOS_1997680_2021.pdf
Nikolakopoulos Andreas,Νικολακόπουλος Ανδρέας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/NIKOLAKOPOYLOS_ANDREAS_2284366_2021.pdf
Nikolopoulos Nikolaos,Νικολόπουλος Νικόλαος,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Achaea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/NIKOLOPOYLOS_NIKOLAOS_2217135_2021.pdf
Notopoulou Aikaterini (Katerina),Νοτοπούλου Αικατερίνη (Κατερίνη),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/NOTOPOYLOY_AIKATERINI_2148437_2021.pdf
Ntzimanis Georgios,Ντζιμάνης Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/NTZIMANIS_GEORG_2013165_2021.pdf
Xanthopoulos Theofilos (Filis),Ξανθόπουλος Θεόφιλος (Φίλης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Drama,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/XANTHOPOYLOS_THEOFILOS_2017600_2021.pdf
Xanthos Andreas,Ξανθός Ανδρέας,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Rethimnon,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/XANTHOS_ANDREAS_1942266_2021.pdf
Xenogiannakopoulou Maria - Eliza (Mariliza),Ξενογιαννακοπούλου Μαρία - Ελίζα (Μαριλίζα),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/XENOGIANNAKOPOYLOY_MARIA_2206546_2021.pdf
Xidakis Nikolaos,Ξυδάκης Νικόλαος,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/XYDAKIS_NIKOLAOS_2189526_2021.pdf
Oikonomou Ioannis,Οικονόμου Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Phthiotis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/OIKONOMOY_IOANNIS_2183419_2021.pdf
Oikonomou Vasileios,Οικονόμου Βασίλειος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/OIKONOMOY_BASILEIOS_2106506_2021.pdf
Oursouzidis Georgios,Ουρσουζίδης Γεώργιος,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Imathia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/OYRSOYZIDIS_GEORGIOS_2147741_2021.pdf
